Contact External ID,First Name,Last Name,Phone,Email,City,Age Band,Source,WhatsApp Opt-in,DND,Journey Stage,Tier,SKU,Subscription Status,Adviser Owner,Income Band,Corpus Band,Savings Band,Aspiration,Signed Up,Reveal Seen,Paid,Data Complete,Plan Built,Plan Read,Last Call,Next Review,Renewal Due,Last Activity,Onboarding %,KYC Status,AA Status,FP Status,IP Status,Actions Done,Actions Total,Consent Valid Till,Source Completeness,Sharpen Count,Last Manual Update,DIFM Prospect Flag,Adviser Continuity,Last Adviser,Profile Fulfilment %,Admin Link,Is Seed Topup
P00001,Revathi,Prasad,9000052984,revathi.prasad.463@example.com,Bengaluru,25 to 29,corporate_session,false,false,S23,diwm,diwm,active,Adviser 01,10 to 25 lakhs,5 to 25 lakhs,"Around 25%, meaningful amounts",Freedom,2025-07-08,2025-07-09,2025-08-24,2025-08-26,2025-08-26,2025-09-04,,2026-11-19,2026-10-04,2026-09-21,100,verified,failed,read,done,5,5,,yes,0,2025-08-26T13:43:24+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00001,false
P00002,Heena,Shah,9000026246,heena.shah.460@example.com,Pune,25 to 29,community,true,true,S23,diy,diy,active,Adviser 02,10 to 25 lakhs,5 to 25 lakhs,"Around 40%, some serious money",Generosity,2025-08-20,2025-08-20,2025-08-22,2025-09-02,2025-09-02,2025-09-11,2025-08-30,2026-11-26,2026-11-15,2026-09-15,100,verified,connected,read,done,7,7,2026-10-22,yes,0,2026-03-26T19:43:31+05:30,,off,Adviser 01,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00002,false
P00003,Kavitha,Subramanian,9000043907,kavitha.subramanian.459@example.com,Hyderabad,35 to 39,corporate_session,false,false,S23,diwm,diwm,active,Adviser 03,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Security,2025-08-27,2025-08-28,2025-08-28,2025-09-07,2025-09-07,2025-09-07,,2026-12-01,2026-11-21,2026-09-21,100,verified,cas_uploaded,read,done,6,6,,yes,3,2026-01-17T11:18:03+05:30,,off,,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00003,false
P00004,Nandini,Iyengar,9000093415,nandini.iyengar.462@example.com,Chennai,35 to 39,community,true,false,S23,diy,diy,active,Adviser 04,Under 10 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Generosity,2025-09-03,2025-09-03,2025-09-04,2025-09-14,2025-09-14,2025-09-14,,2026-12-08,2026-09-29,2026-09-22,100,verified,not_connected,read,done,3,3,,yes,0,2025-09-14T09:13:25+05:30,,off,,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00004,false
P00005,Sai,Kamath,9000046972,sai.kamath.461@example.com,Hyderabad,30 to 34,web_reveal,true,false,S23,diwm,diwm,active,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"More than 40%, I live well below my means",Family,2025-09-10,2025-09-10,2025-09-10,2025-09-25,2025-09-25,2025-09-25,2025-12-06,2026-12-19,2026-12-04,2026-09-22,100,verified,cas_uploaded,read,done,5,5,,yes,1,2026-03-28T13:42:33+05:30,,off,Adviser 05,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00005,false
P00006,Nirav,Jain,9000083903,nirav.jain.464@example.com,Hyderabad,40 to 44,referral,true,true,S23,diwm,diwm,active,Adviser 06,50 lakhs to 1 crore,25 lakhs to 1 crore,"Around 25%, meaningful amounts",Legacy,2025-09-20,2025-09-20,2025-09-20,2025-10-02,2025-10-02,2025-10-05,2025-10-09,2026-09-27,2026-10-15,2026-09-21,100,verified,not_connected,read,done,4,4,,yes,0,2025-10-09T17:40:00+05:30,rule,off,Adviser 06,100,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00006,false
P00007,Anand,Reddy,9000090543,,Hyderabad,35 to 39,referral,true,false,S2,free,,,Adviser 02,25 to 50 lakhs,1 to 5 crores,"Around 10%, small consistent chunks",Legacy,2026-03-29,2026-03-30,,,,,,,,2026-04-02,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00007,false
P00008,Rahul,Pandey,9000053655,,Delhi,35 to 39,community,true,true,S1,free,,,Adviser 01,,,,,2026-03-31,,,,,,,,,2026-03-31,0,not_started,,not_started,,,,,,,,,off,,12,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00008,false
P00009,Omkar,Chitale,9000064563,,Ahmedabad,30 to 34,community,true,false,S2,free,,,Adviser 01,10 to 25 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Family,2026-03-29,2026-03-29,,,,,,,,2026-04-01,20,not_started,,not_started,,,,,,,,,off,,62,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00009,false
P00012,Pavithra,Gowda,9000070023,pavithra.gowda.453@example.com,Hyderabad,35 to 39,community,true,false,S22,diwm,diwm,active,Adviser 05,25 to 50 lakhs,25 lakhs to 1 crore,"Around 40%, some serious money",Security,2026-04-02,2026-04-02,2026-04-23,2026-05-06,2026-05-06,2026-05-06,2026-05-26,2026-11-02,2026-10-20,2026-09-21,100,verified,cas_uploaded,read,executing,5,7,,yes,1,2026-09-07T20:56:25+05:30,,off,Adviser 06,98,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=3000&screen=M03&person=P00012,false
