Deal External ID,Contact External ID,Deal Name,SKU,Period,Amount,GST Type,Payment Method,Coupon,Razorpay Customer Id,Razorpay Subscription or Txn Id,Mandate Status,Start,Next Billing,Status,Grace Until,Retry Count,Calls Included Per Period,Calls Used,Cancel Reason,Refund Requested,Refund Status
DL-00001-1,P00001,"DIWM monthly, Revathi Prasad",diwm,monthly,Rs ___,igst,upi,,cust_SEED00001,sub_SEED000011,active,2025-08-24,,lapsed,,0,N,0,,false,
DL-00001-2,P00001,"DIWM monthly, Revathi Prasad",diwm,monthly,Rs ___,igst,upi,,cust_SEED00001,sub_SEED000012,active,2026-03-08,2026-10-04,active,,0,N,0,,false,
DL-00002-1,P00002,"DIY quarterly, Heena Shah",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED00002,pay_SEED000021,none (charged per period),2025-08-22,2026-11-15,active,,0,0,0,,false,
DL-00003-1,P00003,"DIWM quarterly, Kavitha Subramanian",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00003,sub_SEED000031,active,2025-08-28,2026-11-21,active,,0,N,0,,false,
DL-00004-1,P00004,"DIY monthly, Nandini Iyengar",diy,monthly,Rs ___,igst,upi,,cust_SEED00004,sub_SEED000041,active,2025-09-04,2026-09-29,active,,0,0,0,,false,
DL-00005-1,P00005,"DIWM quarterly, Sai Kamath",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00005,sub_SEED000051,active,2025-09-10,2026-12-04,active,,0,N,0,,false,
DL-00006-1,P00006,"DIWM monthly, Nirav Jain",diwm,monthly,Rs ___,igst,upi,,cust_SEED00006,sub_SEED000061,active,2025-09-20,2026-10-15,active,,0,N,0,,false,
DL-00012-1,P00012,"DIWM monthly, Pavithra Gowda",diwm,monthly,Rs ___,igst,upi,,cust_SEED00012,sub_SEED000121,active,2026-04-23,2026-10-20,active,,0,N,0,,false,
DL-00024-1,P00024,"DIY quarterly, Janani Iyer",diy,quarterly,Rs ___,igst,upi,,cust_SEED00024,sub_SEED000241,active,2026-03-31,2026-09-27,active,,0,0,0,,false,
DL-00027-1,P00027,"DIY monthly, Sai Gowda",diy,monthly,Rs ___,igst,upi,,cust_SEED00027,sub_SEED000271,active,2026-04-01,2026-09-28,active,,0,0,0,,false,
DL-00028-1,P00028,"DIWM monthly, Pavithra Murthy",diwm,monthly,Rs ___,igst,upi,,cust_SEED00028,sub_SEED000281,active,2026-04-24,2026-10-21,active,,0,N,0,,false,
DL-00048-1,P00048,"DIY quarterly, Sindhu Chandran",diy,quarterly,Rs ___,igst,upi,,cust_SEED00048,sub_SEED000481,active,2026-04-29,2026-10-26,active,,0,0,0,,false,
DL-00061-1,P00061,"DIWM monthly, Madhav Kumar",diwm,monthly,Rs ___,igst,upi,,cust_SEED00061,sub_SEED000611,active,2026-04-16,2026-10-13,active,,0,N,0,,false,
DL-00083-1,P00083,"DIWM quarterly, Subhajit Chatterjee",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00083,sub_SEED000831,active,2026-04-09,2026-10-06,active,,0,N,0,,false,
DL-00108-1,P00108,"DIY monthly, Vignesh Hegde",diy,monthly,Rs ___,igst,upi,,cust_SEED00108,sub_SEED001081,active,2026-04-12,2026-10-09,active,,0,0,0,,false,
DL-00116-1,P00116,"DIY quarterly, Tanvi Bedi",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED00116,pay_SEED001161,none (charged per period),2026-04-15,,lapsed,2026-07-21,3,0,0,,false,
DL-00124-1,P00124,"DIWM quarterly, Hardik Gokhale",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00124,sub_SEED001241,active,2026-04-16,2026-10-13,active,,0,N,0,,false,
DL-00150-1,P00150,"DIY monthly, Sandeep Shetty",diy,monthly,Rs ___,igst,upi,,cust_SEED00150,sub_SEED001501,active,2026-04-15,,lapsed,,0,0,0,,false,
DL-00150-2,P00150,"DIY monthly, Sandeep Shetty",diy,monthly,Rs ___,igst,upi,,cust_SEED00150,sub_SEED001502,active,2026-06-09,2026-10-07,active,,0,0,0,,false,
DL-00162-1,P00162,"DIWM quarterly, Chinmay Jadhav",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED00162,sub_SEED001621,active,2026-05-05,2026-11-01,active,,0,N,1,,false,
DL-00180-1,P00180,"DIWM monthly, Sayan Ghosh",diwm,monthly,Rs ___,igst,upi,,cust_SEED00180,sub_SEED001801,active,2026-04-23,,lapsed,2026-08-28,3,N,0,,false,
DL-00194-1,P00194,"DIWM monthly, Nishant Gokhale",diwm,monthly,Rs ___,igst,upi,,cust_SEED00194,sub_SEED001941,active,2026-04-16,2026-10-13,active,,0,N,0,,false,
DL-00202-1,P00202,"DIWM monthly, Meenakshi Raman",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00202,pay_SEED002021,none (charged per period),2026-04-24,2026-10-21,failed,2026-09-28,1,N,0,,false,
DL-00203-1,P00203,"DIWM monthly, Nithya Rao",diwm,monthly,Rs ___,igst,upi,,cust_SEED00203,sub_SEED002031,active,2026-05-06,2026-10-03,active,,0,N,0,,false,
DL-00244-1,P00244,"DIY monthly, Rohan Tandon",diy,monthly,Rs ___,igst,netbanking,,cust_SEED00244,pay_SEED002441,none (charged per period),2026-04-24,2026-10-21,active,,0,0,0,,false,
DL-00254-1,P00254,"DIY monthly, Venkat Kumar",diy,monthly,Rs ___,igst,netbanking,,cust_SEED00254,pay_SEED002541,none (charged per period),2026-04-24,2026-10-21,failed,2026-09-28,1,0,0,,false,
DL-00265-1,P00265,"DIWM monthly, Nitin Tandon",diwm,monthly,Rs ___,igst,upi,,cust_SEED00265,sub_SEED002651,active,2026-04-29,2026-09-26,active,,0,N,0,,false,
DL-00306-1,P00306,"DIWM quarterly, Vikram Singh",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00306,sub_SEED003061,active,2026-05-18,2026-11-14,active,,0,N,0,,false,
DL-00315-1,P00315,"DIY monthly, Sahil Arora",diy,monthly,Rs ___,igst,upi,,cust_SEED00315,sub_SEED003151,active,2026-04-27,2026-09-24,active,,0,0,0,,false,
DL-00324-1,P00324,"DIY monthly, Lakshmi Gowda",diy,monthly,Rs ___,igst,upi,,cust_SEED00324,sub_SEED003241,active,2026-05-28,2026-09-25,active,,0,0,0,,false,
DL-00325-1,P00325,"DIWM monthly, Jigar Thakkar",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00325,sub_SEED003251,active,2026-04-30,2026-09-27,active,,0,N,0,,false,
DL-00331-1,P00331,"DIWM quarterly, Ganesh Iyer",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00331,sub_SEED003311,active,2026-05-02,2026-10-29,active,,0,N,0,,false,
DL-00332-1,P00332,"DIWM monthly, Siddharth Patel",diwm,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00332,pay_SEED003321,none (charged per period),2026-05-08,2026-10-05,active,,0,N,0,,false,
DL-00348-1,P00348,"DIY quarterly, Tarun Chopra",diy,quarterly,Rs ___,igst,netbanking,,cust_SEED00348,pay_SEED003481,none (charged per period),2026-05-02,2026-10-29,active,,0,0,0,,false,
DL-00381-1,P00381,"DIY quarterly, Gurpreet Singh",diy,quarterly,Rs ___,igst,upi,,cust_SEED00381,sub_SEED003811,active,2026-05-02,2026-10-29,active,,0,0,0,,false,
DL-00385-1,P00385,"DIWM quarterly, Ramya Naidu",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00385,sub_SEED003851,active,2026-05-12,2026-11-08,active,,0,N,0,,false,
DL-00392-1,P00392,"DIY quarterly, Chaitanya Chandran",diy,quarterly,Rs ___,igst,upi,,cust_SEED00392,sub_SEED003921,active,2026-05-05,2026-11-01,active,,0,0,0,,false,
DL-00397-1,P00397,"DIWM quarterly, Jasleen Tandon",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00397,sub_SEED003971,active,2026-05-04,2026-10-31,active,,0,N,0,,false,
DL-00402-1,P00402,"DIY quarterly, Aditya Arora",diy,quarterly,Rs ___,igst,upi,,cust_SEED00402,sub_SEED004021,active,2026-05-05,,lapsed,2026-08-10,3,0,0,,false,
DL-00441-1,P00441,"DIY quarterly, Naina Tiwari",diy,quarterly,Rs ___,igst,upi,,cust_SEED00441,sub_SEED004411,active,2026-05-08,,lapsed,2026-08-13,3,0,0,,false,
DL-00458-1,P00458,"DIWM monthly, Sindhu Raman",diwm,monthly,Rs ___,igst,upi,,cust_SEED00458,sub_SEED004581,active,2026-05-30,2026-09-27,active,,0,N,0,,false,
DL-00459-1,P00459,"DIY quarterly, Sourav Sen",diy,quarterly,Rs ___,igst,upi,,cust_SEED00459,sub_SEED004591,active,2026-05-12,2026-11-08,active,,0,0,0,,false,
DL-00462-1,P00462,"DIWM monthly, Shruti Joshi",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00462,sub_SEED004621,active,2026-05-19,,lapsed,2026-07-25,3,N,0,,false,
DL-00463-1,P00463,"DIWM monthly, Harini Krishnan",diwm,monthly,Rs ___,igst,upi,,cust_SEED00463,sub_SEED004631,active,2026-05-11,2026-10-08,active,,0,N,0,,false,
DL-00466-1,P00466,"DIWM monthly, Janani Nair",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00466,pay_SEED004661,none (charged per period),2026-05-13,2026-10-10,active,,0,N,0,,false,
DL-00474-1,P00474,"DIWM monthly, Shruti Thakkar",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00474,sub_SEED004741,active,2026-05-12,2026-10-09,active,,0,N,0,,false,
DL-00477-1,P00477,"DIY quarterly, Hardik Chitale",diy,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED00477,pay_SEED004771,none (charged per period),2026-05-14,2026-11-10,active,,0,0,0,,false,
DL-00487-1,P00487,"DIWM monthly, Chinmay Trivedi",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00487,sub_SEED004871,active,2026-05-16,2026-10-13,active,,0,N,0,,false,
DL-00515-1,P00515,"DIWM monthly, Parth Pawar",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00515,pay_SEED005151,none (charged per period),2026-05-24,2026-10-21,active,,0,N,0,,false,
DL-00518-1,P00518,"DIY monthly, Gayathri Balakrishnan",diy,monthly,Rs ___,igst,upi,,cust_SEED00518,sub_SEED005181,active,2026-05-22,2026-10-19,failed,2026-09-26,2,0,0,,false,
DL-00519-1,P00519,"DIY monthly, Hardik Jadhav",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00519,sub_SEED005191,active,2026-07-09,2026-10-07,active,,0,0,0,,false,
DL-00584-1,P00584,"DIY quarterly, Anand Raman",diy,quarterly,Rs ___,igst,upi,,cust_SEED00584,sub_SEED005841,active,2026-05-27,,lapsed,2026-09-01,3,0,0,,false,
DL-00612-1,P00612,"DIWM quarterly, Yogesh Dave",diwm,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED00612,pay_SEED006121,none (charged per period),2026-05-20,2026-11-16,active,,0,N,0,,false,
DL-00613-1,P00613,"DIY monthly, Tanushree Dutta",diy,monthly,Rs ___,igst,netbanking,,cust_SEED00613,pay_SEED006131,none (charged per period),2026-05-28,2026-09-25,active,,0,0,0,,false,
DL-00628-1,P00628,"DIWM monthly, Mansi Pawar",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00628,pay_SEED006281,none (charged per period),2026-05-30,2026-09-27,active,,0,N,0,,false,
DL-00656-1,P00656,"DIWM monthly, Ketan Patil",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00656,sub_SEED006561,active,2026-05-23,2026-10-20,active,,0,N,0,,false,
DL-00694-1,P00694,"DIY quarterly, Kunal Sawant",diy,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED00694,sub_SEED006941,active,2026-06-20,2026-12-17,failed,2026-09-25,2,0,0,,false,
DL-00716-1,P00716,"DIY quarterly, Ayesha Bedi",diy,quarterly,Rs ___,igst,upi,,cust_SEED00716,sub_SEED007161,active,2026-06-23,2026-12-20,failed,2026-09-28,1,0,0,,false,
DL-00718-1,P00718,"DIY monthly, Keerthana Hegde",diy,monthly,Rs ___,igst,netbanking,,cust_SEED00718,pay_SEED007181,none (charged per period),2026-06-04,2026-10-02,active,,0,0,0,,false,
DL-00734-1,P00734,"DIWM quarterly, Ishaan Sharma",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00734,sub_SEED007341,active,2026-05-29,2026-11-25,active,,0,N,1,,false,
DL-00741-1,P00741,"DIWM quarterly, Naveen Kamath",diwm,quarterly,Rs ___,igst,upi,,cust_SEED00741,sub_SEED007411,active,2026-05-31,2026-11-27,active,,0,N,0,,false,
DL-00747-1,P00747,"DIY quarterly, Gayathri Nair",diy,quarterly,Rs ___,igst,upi,,cust_SEED00747,sub_SEED007471,active,2026-06-07,,lapsed,2026-09-12,3,0,0,,false,
DL-00749-1,P00749,"DIWM monthly, Ishita Pandey",diwm,monthly,Rs ___,igst,upi,,cust_SEED00749,sub_SEED007491,active,2026-06-07,,lapsed,,0,N,0,,false,
DL-00749-2,P00749,"DIWM monthly, Ishita Pandey",diwm,monthly,Rs ___,igst,upi,,cust_SEED00749,sub_SEED007492,pending,2026-09-21,,pending_mandate,,0,N,0,,false,
DL-00757-1,P00757,"DIWM monthly, Chaitanya Shetty",diwm,monthly,Rs ___,igst,upi,,cust_SEED00757,sub_SEED007571,active,2026-06-04,2026-10-02,active,,0,N,0,,false,
DL-00766-1,P00766,"DIWM monthly, Parth Naik",diwm,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00766,pay_SEED007661,none (charged per period),2026-06-05,2026-10-03,active,,0,N,0,,false,
DL-00787-1,P00787,"DIWM quarterly, Shruti Joshi",diwm,quarterly,Rs ___,cgst_sgst,netbanking,,cust_SEED00787,pay_SEED007871,none (charged per period),2026-06-03,2026-11-30,active,,0,N,1,,false,
DL-00807-1,P00807,"DIY quarterly, Sudipta Dutta",diy,quarterly,Rs ___,igst,upi,,cust_SEED00807,sub_SEED008071,active,2026-06-16,2026-12-13,active,,0,0,0,,false,
DL-00809-1,P00809,"DIWM monthly, Ketan Shinde",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00809,sub_SEED008091,active,2026-06-24,2026-10-22,failed,2026-09-29,0,N,0,,false,
DL-00816-1,P00816,"DIWM monthly, Siddharth Deshmukh",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00816,sub_SEED008161,active,2026-06-23,2026-10-21,active,,0,N,0,,false,
DL-00841-1,P00841,"DIWM monthly, Janani Iyengar",diwm,monthly,Rs ___,igst,upi,,cust_SEED00841,sub_SEED008411,active,2026-06-07,2026-10-05,active,,0,N,0,,false,
DL-00881-1,P00881,"DIY monthly, Riddhi Sawant",diy,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00881,sub_SEED008811,active,2026-06-17,2026-10-15,active,,0,0,0,,false,
DL-00893-1,P00893,"DIWM monthly, Kavya Malhotra",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00893,pay_SEED008931,none (charged per period),2026-06-10,,lapsed,,0,N,0,,false,
DL-00893-2,P00893,"DIWM monthly, Kavya Malhotra",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00893,pay_SEED008932,none (charged per period),2026-09-21,2026-10-21,active,,0,N,0,,false,
DL-00899-1,P00899,"DIY quarterly, Nidhi Jain",diy,quarterly,Rs ___,igst,upi,,cust_SEED00899,sub_SEED008991,active,2026-06-13,2026-12-10,active,,0,0,0,,false,
DL-00912-1,P00912,"DIY monthly, Sakshi Kohli",diy,monthly,Rs ___,igst,upi,,cust_SEED00912,sub_SEED009121,active,2026-06-09,2026-10-07,active,,0,0,0,,false,
DL-00928-1,P00928,"DIWM monthly, Aniket Kamat",diwm,monthly,Rs ___,cgst_sgst,netbanking,,cust_SEED00928,pay_SEED009281,none (charged per period),2026-06-11,2026-10-09,active,,0,N,0,,false,
DL-00929-1,P00929,"DIWM monthly, Meera Verma",diwm,monthly,Rs ___,igst,upi,,cust_SEED00929,sub_SEED009291,active,2026-06-20,2026-10-18,active,,0,N,0,,false,
DL-00933-1,P00933,"DIWM monthly, Nithya Varma",diwm,monthly,Rs ___,igst,upi,,cust_SEED00933,sub_SEED009331,active,2026-06-22,2026-10-20,active,,0,N,0,,false,
DL-00957-1,P00957,"DIWM monthly, Kavitha Reddy",diwm,monthly,Rs ___,igst,upi,,cust_SEED00957,sub_SEED009571,active,2026-08-06,2026-10-05,active,,0,N,0,,false,
DL-00974-1,P00974,"DIWM monthly, Tarun Singh",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED00974,pay_SEED009741,none (charged per period),2026-07-04,2026-10-02,active,,0,N,0,,false,
DL-00991-1,P00991,"DIWM monthly, Zoya Sethi",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED00991,sub_SEED009911,active,2026-06-22,2026-10-20,active,,0,N,0,,false,
DL-01023-1,P01023,"DIY quarterly, Karan Pandey",diy,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED01023,sub_SEED010231,active,2026-06-18,2026-12-15,active,,0,0,0,,false,
DL-01034-1,P01034,"DIWM quarterly, Janani Kumar",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED01034,pay_SEED010341,none (charged per period),2026-07-08,2026-10-06,active,,0,N,1,,false,
DL-01099-1,P01099,"DIWM monthly, Tanvi Sethi",diwm,monthly,Rs ___,igst,upi,,cust_SEED01099,sub_SEED010991,active,2026-06-27,2026-09-25,active,,0,N,1,,false,
DL-01155-1,P01155,"DIWM monthly, Divya Tandon",diwm,monthly,Rs ___,igst,netbanking,,cust_SEED01155,pay_SEED011551,none (charged per period),2026-08-02,2026-10-01,active,,0,N,0,,false,
DL-01202-1,P01202,"DIY monthly, Ishaan Gill",diy,monthly,Rs ___,igst,upi,,cust_SEED01202,sub_SEED012021,active,2026-07-09,2026-10-07,active,,0,0,0,,false,
DL-01230-1,P01230,"DIY quarterly, Pranav Verma",diy,quarterly,Rs ___,igst,upi,,cust_SEED01230,sub_SEED012301,active,2026-07-20,2026-10-18,active,,0,0,0,,false,
DL-01233-1,P01233,"DIY quarterly, Ankit Gupta",diy,quarterly,Rs ___,igst,upi,,cust_SEED01233,sub_SEED012331,active,2026-07-01,2026-09-29,active,,0,0,0,,false,
DL-01238-1,P01238,"DIY monthly, Aman Pandey",diy,monthly,Rs ___,igst,upi,,cust_SEED01238,sub_SEED012381,active,2026-07-01,2026-09-29,active,,0,0,0,,false,
DL-01249-1,P01249,"DIY monthly, Chaitanya Iyengar",diy,monthly,Rs ___,igst,upi,,cust_SEED01249,sub_SEED012491,active,2026-07-08,2026-10-06,active,,0,0,0,,false,
DL-01320-1,P01320,"DIWM monthly, Ishita Pandey",diwm,monthly,Rs ___,igst,upi,,cust_SEED01320,sub_SEED013201,active,2026-07-06,2026-10-04,active,,0,N,0,,false,
DL-01330-1,P01330,"DIWM monthly, Amruta Kulkarni",diwm,monthly,Rs ___,igst,upi,,cust_SEED01330,sub_SEED013301,active,2026-07-04,2026-10-02,active,,0,N,0,,false,
DL-01335-1,P01335,"DIWM quarterly, Tarun Mehra",diwm,quarterly,Rs ___,igst,upi,,cust_SEED01335,sub_SEED013351,active,2026-07-05,2026-10-03,active,,0,N,1,,false,
DL-01345-1,P01345,"DIWM monthly, Jigar Deshmukh",diwm,monthly,Rs ___,igst,upi,,cust_SEED01345,sub_SEED013451,active,2026-07-07,2026-10-05,active,,0,N,0,,false,
DL-01367-1,P01367,"DIWM quarterly, Rutuja Jain",diwm,quarterly,Rs ___,igst,upi,,cust_SEED01367,sub_SEED013671,active,2026-07-12,2026-10-10,active,,0,N,0,,false,
DL-01374-1,P01374,"DIWM monthly, Pranali Chitale",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED01374,sub_SEED013741,active,2026-07-10,2026-10-08,active,,0,N,0,,false,
DL-01391-1,P01391,"DIY quarterly, Jasleen Pandey",diy,quarterly,Rs ___,igst,upi,,cust_SEED01391,sub_SEED013911,active,2026-08-09,2026-11-07,active,,0,0,0,,false,
DL-01413-1,P01413,"DIY quarterly, Nishant Deshmukh",diy,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED01413,sub_SEED014131,active,2026-07-15,2026-10-13,active,,0,0,0,,false,
DL-01418-1,P01418,"DIWM monthly, Chinmay Patel",diwm,monthly,Rs ___,cgst_sgst,upi,,cust_SEED01418,sub_SEED014181,active,2026-07-10,2026-10-08,active,,0,N,0,,false,
DL-01419-1,P01419,"DIWM quarterly, Anand Prasad",diwm,quarterly,Rs ___,igst,netbanking,,cust_SEED01419,pay_SEED014191,none (charged per period),2026-07-17,2026-10-15,active,,0,N,0,,false,
DL-01463-1,P01463,"DIWM quarterly, Sneha Jadhav",diwm,quarterly,Rs ___,cgst_sgst,upi,,cust_SEED01463,sub_SEED014631,active,2026-07-10,2026-10-08,active,,0,N,0,,false,
DL-01468-1,P01468,"DIWM monthly, Ganesh Prasad",diwm,monthly,Rs ___,none,upi,SEEDZERO,cust_SEED01468,sub_SEED014681,active,2026-08-06,2026-10-05,active,,0,N,1,,false,
DL-01482-1,P01482,"DIWM quarterly, Kinjal Kamat",diwm,quarterly,Rs ___,igst,upi,,cust_SEED01482,sub_SEED014821,active,2026-08-03,2026-11-01,active,,0,N,0,,false,
DL-01500-1,P01500,"DIWM monthly, Karan Malhotra",diwm,monthly,Rs ___,igst,upi,,cust_SEED01500,sub_SEED015001,active,2026-07-20,2026-10-18,active,,0,N,1,,false,
