Lead External ID,First Name,Last Name,Phone,Email,City,Lead Source,Lead Stage,WhatsApp Opt-in,DND,Age Band,Top Concern,Keyword,Community Joined,Created Date,Is Seed Topup
P00010,Aniket,Kulkarni,9000009261,,Mumbai,organic,lead,true,false,,,,false,2026-03-27,false
P00011,Vikram,Malhotra,9000038025,,Delhi,community,lead,true,false,,,,true,2026-03-27,false
P00014,Vidya,Kamath,9000009870,vidya.kamath.234@example.com,Chennai,web_reveal,lead,true,false,30 to 34,Retiring early,PLAN,false,2026-03-28,false
P00016,Swathi,Srinivasan,9000034321,,Bengaluru,corporate_session,lead,true,false,,,,false,2026-03-28,false
P00017,Ishani,Mohanty,9000093150,,Pune,referral,lead,true,false,,,,true,2026-03-28,false
P00019,Debasish,Chakraborty,9000014958,,Kolkata,community,lead,true,false,,,,true,2026-03-28,false
P00020,Nithya,Kamath,9000088881,,Hyderabad,organic,lead,false,false,,,,false,2026-03-29,false
P00021,Pradeep,Subramanian,9000064995,,Bengaluru,corporate_session,lead,true,false,,,,false,2026-03-29,false
P00026,Tanvi,Chopra,9000061791,,Delhi,referral,lead,true,false,,,,false,2026-03-30,false
P00032,Gayathri,Iyengar,9000067756,gayathri.iyengar.170@example.com,Bengaluru,web_reveal,lead,true,false,35 to 39,Where to invest,ALPHA,false,2026-03-30,false
P00033,Saloni,Pawar,9000041970,,Pune,community,lead,true,false,,,,true,2026-03-30,false
P00034,Vaibhav,Pandya,9000002229,vaibhav.pandya.693@example.com,Pune,community,lead,true,false,,My children's education,PLAN,true,2026-03-30,false
P00036,Ankit,Arora,9000028904,,Gurugram,organic,lead,true,false,,,,false,2026-03-30,false
P00041,Omkar,Desai,9000066523,,Pune,referral,lead,true,false,,,,false,2026-03-30,false
P00042,Aparna,Kumar,9000009623,,Chennai,community,lead,true,false,,,,true,2026-03-30,false
