Event External ID,Contact External ID,Event,Screen,At,Props
EV0000004,P00001,signed_up,A03,2025-07-08T12:46:58+05:30,"{""device"":""android"",""phone"":""9000052984"",""source"":""corporate_session"",""whatsapp_optin"":false}"
EV0000005,P00001,state_enter_S1,R01,2025-07-08T12:46:58+05:30,"{""from_state"":null,""state"":""S1""}"
EV0000017,P00001,reveal_seen,R09,2025-07-09T01:39:13+05:30,"{""age_band"":""25 to 29"",""aspiration"":""Freedom"",""city"":""Bengaluru"",""corpus_band"":""5 to 25 lakhs"",""income_band"":""10 to 25 lakhs"",""journey_feel"":""Very good, mostly things have worked out well"",""path_now_band"":""2 to 5 Cr"",""path_yes_band"":""5 to 10 Cr"",""savings_band"":""Around 25%, meaningful amounts""}"
EV0000018,P00001,state_enter_S2,X01,2025-07-09T01:39:13+05:30,"{""from_state"":""S1"",""state"":""S2""}"
EV0000022,P00001,paywall_viewed,P01,2025-08-24T08:30:30+05:30,"{""from_state"":""S2"",""sku_expanded"":""diwm""}"
EV0000024,P00001,state_enter_S2b,P03,2025-08-24T08:31:00+05:30,"{""from_state"":""S2"",""state"":""S2b""}"
EV0000026,P00001,esign_done,P03,2025-08-24T08:35:59+05:30,"{""agreement_version"":""AGR v1 (to be verified: agreement template versions)"",""esign_ref"":""ESIGN-SEED-021193""}"
EV0000027,P00001,state_enter_S2c,P04,2025-08-24T08:35:59+05:30,"{""from_state"":""S2b"",""state"":""S2c""}"
EV0000029,P00001,paid,P05,2025-08-24T08:40:58+05:30,"{""amount"":""Rs ___"",""mandate_status"":""active"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00001"",""subscription_or_txn_id"":""sub_SEED000011""},""sku"":""diwm""}"
EV0000030,P00001,state_enter_S3,O02,2025-08-24T08:40:58+05:30,"{""from_state"":""S2c"",""state"":""S3""}"
EV0000040,P00001,aa_failed,A09,2025-08-24T08:54:24+05:30,"{""consent_expiry"":null,""institutions_failed"":[""Bank 2"",""CAMS"",""KFintech""],""institutions_ok"":[]}"
EV0000045,P00001,state_enter_S4,O02,2025-08-25T18:14:16+05:30,"{""from_state"":""S3"",""state"":""S4""}"
EV0000047,P00001,data_progress,D12a,2025-08-25T18:14:37+05:30,"{""pct_complete"":27,""step_id"":""family""}"
EV0000058,P00001,data_progress,D12b,2025-08-25T18:16:14+05:30,"{""pct_complete"":35,""step_id"":""risk""}"
EV0000072,P00001,data_progress,D12c,2025-08-25T18:20:48+05:30,"{""pct_complete"":40,""step_id"":""income""}"
EV0000088,P00001,data_progress,D12d,2025-08-25T18:25:23+05:30,"{""pct_complete"":51,""step_id"":""expenses""}"
EV0000112,P00001,data_progress,D12e,2025-08-25T18:34:41+05:30,"{""pct_complete"":66,""step_id"":""investments""}"
EV0000115,P00001,data_progress,D12f,2025-08-25T18:35:00+05:30,"{""pct_complete"":74,""step_id"":""loans""}"
EV0000130,P00001,data_progress,D12g,2025-08-25T18:40:06+05:30,"{""pct_complete"":82,""step_id"":""insurance""}"
EV0000134,P00001,data_progress,D12h,2025-08-26T13:42:16+05:30,"{""pct_complete"":90,""step_id"":""goals""}"
EV0000142,P00001,state_enter_S5,D10,2025-08-26T13:44:18+05:30,"{""from_state"":""S4"",""state"":""S5""}"
EV0000144,P00001,data_complete,D10,2025-08-26T13:58:34+05:30,{}
EV0000145,P00001,plan_built,D10,2025-08-26T13:58:56+05:30,"{""assumed_count"":0,""assumptions_version"":""A1"",""band_count"":8,""built_on"":""full"",""instrument_set_version"":""I1"",""plan_version"":""v1"",""unknown_count"":0}"
EV0000146,P00001,state_enter_S6,H01a,2025-08-26T13:58:56+05:30,"{""from_state"":""S5"",""state"":""S6""}"
EV0000152,P00001,plan_read,G03,2025-09-04T17:44:41+05:30,{}
EV0000153,P00001,state_enter_S8,H01b,2025-09-04T17:44:41+05:30,"{""from_state"":""S6"",""state"":""S8""}"
EV0000163,P00001,state_enter_S9,H01c,2025-09-07T09:09:54+05:30,"{""from_state"":""S8"",""state"":""S9""}"
EV0000177,P00001,action_done,E06,2025-09-13T03:32:23+05:30,"{""done_count"":1,""total_count"":5,""verification"":""aa_verified"",""verified"":true}"
EV0000212,P00001,action_done,E06,2025-10-21T01:07:06+05:30,"{""done_count"":2,""total_count"":5,""verification"":""platform"",""verified"":true}"
EV0000227,P00001,action_done,E06,2025-11-01T12:23:56+05:30,"{""done_count"":3,""total_count"":5,""verification"":""aa_verified"",""verified"":true}"
EV0000247,P00001,review_due,Q01,2025-11-24T13:58:56+05:30,"{""review_id"":""RV-03026-1""}"
EV0000253,P00001,review_done,Q01,2025-11-25T22:53:13+05:30,"{""review_id"":""RV-03026-1""}"
EV0000254,P00001,plan_updated,H05,2025-11-25T22:54:13+05:30,"{""from_version"":""v1"",""reason"":""review"",""to_version"":""v2""}"
EV0000256,P00001,update_accepted,H05,2025-11-25T22:55:13+05:30,"{""to_version"":""v2""}"
EV0000263,P00001,action_done,E06,2025-12-05T05:45:29+05:30,"{""done_count"":4,""total_count"":5,""verification"":""platform"",""verified"":true}"
EV0000280,P00001,state_enter_S10,H01d,2025-12-31T23:11:10+05:30,"{""from_state"":""S9"",""state"":""S10""}"
EV0000281,P00001,action_done,E06,2025-12-31T23:11:12+05:30,"{""done_count"":5,""total_count"":5,""verification"":""self_reported"",""verified"":false}"
EV0000300,P00001,payment_failed,Q03b,2026-02-20T08:40:58+05:30,"{""grace_until"":""2026-02-27""}"
EV0000301,P00001,state_enter_S12,H01f,2026-02-20T08:40:58+05:30,"{""from_state"":""S10"",""state"":""S12""}"
EV0000302,P00001,review_due,Q01,2026-02-22T13:58:56+05:30,"{""review_id"":""RV-03026-2""}"
EV0000306,P00001,review_done,Q01,2026-02-22T21:37:30+05:30,"{""review_id"":""RV-03026-2""}"
EV0000307,P00001,plan_updated,H05,2026-02-22T21:38:30+05:30,"{""from_version"":""v2"",""reason"":""review"",""to_version"":""v3""}"
EV0000309,P00001,update_accepted,H05,2026-02-22T21:39:30+05:30,"{""to_version"":""v3""}"
EV0000314,P00001,lapsed,Q03c,2026-02-27T08:40:58+05:30,"{""reason"":""payment not recovered in grace""}"
EV0000315,P00001,state_enter_S13,H01g,2026-02-27T08:40:58+05:30,"{""from_state"":""S12"",""state"":""S13""}"
EV0000317,P00001,resubscribed,Q03,2026-03-08T22:30:14+05:30,"{""amount"":""Rs ___"",""mandate_status"":""active"",""period"":""monthly"",""razorpay_ids"":{""customer_id"":""cust_SEED00001"",""subscription_or_txn_id"":""sub_SEED000012""},""reason"":""resubscribed after lapse"",""sku"":""diwm""}"
EV0000318,P00001,state_enter_S10,H01d,2026-03-08T22:30:14+05:30,"{""from_state"":""S13"",""state"":""S10""}"
EV0000347,P00001,review_due,Q01,2026-05-23T13:58:56+05:30,"{""review_id"":""RV-03026-3""}"
EV0000351,P00001,review_done,Q01,2026-05-26T05:14:49+05:30,"{""review_id"":""RV-03026-3""}"
EV0000352,P00001,plan_updated,H05,2026-05-26T05:15:49+05:30,"{""from_version"":""v3"",""reason"":""review"",""to_version"":""v4""}"
EV0000354,P00001,update_accepted,H05,2026-05-26T05:16:49+05:30,"{""to_version"":""v4""}"
EV0000363,P00001,plan_updated,H05,2026-07-10T16:04:08+05:30,"{""from_version"":""v4"",""reason"":""publish"",""to_version"":""v5""}"
