Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
aditya.mehra.373@example.com,9000036327,Aditya,S8,diwm,true
gurpreet.singh.327@example.com,9000084034,Gurpreet,S8,diy,true
janani.kumar.377@example.com,9000088515,Janani,S8,diwm,true
jasleen.tandon.326@example.com,9000012677,Jasleen,S8,diwm,true
mansi.pawar.339@example.com,9000003054,Mansi,S8,diwm,true
mihir.apte.370@example.com,9000058313,Mihir,S8,diwm,false
moumita.saha.328@example.com,9000012938,Moumita,S8,diwm,false
nidhi.jain.369@example.com,9000029134,Nidhi,S8,diwm,true
nithya.rao.331@example.com,9000063689,Nithya,S8,diwm,false
nithya.varma.329@example.com,9000008067,Nithya,S8,diwm,true
nitin.tandon.325@example.com,9000044302,Nitin,S8,diwm,true
prachi.pawar.404@example.com,9000091786,Prachi,S8,diwm,true
ruchi.chopra.337@example.com,9000041817,Ruchi,S8,diy,false
sahil.arora.334@example.com,9000099572,Sahil,S8,diy,false
sindhu.chandran.338@example.com,9000071712,Sindhu,S8,diy,true
sindhu.kumar.409@example.com,9000069437,Sindhu,S8,diy,true
