Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
aakash.pandey.341@example.com,9000014322,Aakash,S9,diy,true
amruta.bhosale.426@example.com,9000003679,Amruta,S9,diy,true
amruta.kulkarni.371@example.com,9000091240,Amruta,S9,diwm,true
aniket.kamat.366@example.com,9000096461,Aniket,S9,diwm,true
chinmay.trivedi.370@example.com,9000005226,Chinmay,S9,diwm,true
deepak.chauhan.358@example.com,9000024443,Deepak,S9,diwm,true
hardik.jadhav.363@example.com,9000082390,Hardik,S9,diy,true
harini.krishnan.368@example.com,9000068937,Harini,S9,diwm,true
heena.kamat.392@example.com,9000034035,Heena,S9,diwm,true
ishita.pandey.397@example.com,9000032059,Ishita,S9,diwm,true
janani.iyengar.393@example.com,9000003314,Janani,S9,diwm,false
karan.malhotra.364@example.com,9000042306,Karan,S9,diwm,false
karan.pandey.372@example.com,9000086018,Karan,S9,diy,true
ketan.patil.343@example.com,9000001061,Ketan,S9,diwm,true
kinjal.gokhale.424@example.com,9000042741,Kinjal,S9,diwm,true
lakshmi.gowda.353@example.com,9000095520,Lakshmi,S9,diy,true
lakshmi.iyengar.379@example.com,9000059716,Lakshmi,S9,diy,true
naveen.kamath.359@example.com,9000071593,Naveen,S9,diwm,true
nidhi.jain.351@example.com,9000062983,Nidhi,S9,diy,true
nishant.deshmukh.349@example.com,9000035218,Nishant,S9,diy,true
pranav.verma.348@example.com,9000048019,Pranav,S9,diy,false
riddhi.sawant.398@example.com,9000052672,Riddhi,S9,diy,true
rohan.tandon.346@example.com,9000070050,Rohan,S9,diy,true
shruti.thakkar.362@example.com,9000016821,Shruti,S9,diwm,true
shruti.trivedi.365@example.com,9000020435,Shruti,S9,diy,true
siddharth.deshmukh.381@example.com,9000098545,Siddharth,S9,diwm,true
subhajit.chatterjee.354@example.com,9000032107,Subhajit,S9,diwm,false
tanvi.sethi.345@example.com,9000057877,Tanvi,S9,diwm,true
tarun.singh.369@example.com,9000087586,Tarun,S9,diwm,true
urvi.shinde.367@example.com,9000004935,Urvi,S9,diy,false
varun.bedi.357@example.com,9000000032,Varun,S9,diwm,true
zoya.sethi.347@example.com,9000085908,Zoya,S9,diwm,true
