Email,Phone,First Name,Stage,Tier,WhatsApp Opt-in
aman.chauhan.162@example.com,9000022307,Aman,S0w,,true
aman.sethi.278@example.com,9000070164,Aman,S0w,,true
aniket.bhosale.319@example.com,9000056030,Aniket,S0w,,true
ankit.saxena.139@example.com,9000003836,Ankit,S0w,,true
aparna.nair.157@example.com,9000071770,Aparna,S0w,,false
ganesh.balakrishnan.269@example.com,9000069363,Ganesh,S0w,,true
hardik.desai.363@example.com,9000041269,Hardik,S0w,,false
hetal.patel.296@example.com,9000056075,Hetal,S0w,,true
janani.kumar.288@example.com,9000087789,Janani,S0w,,true
jigar.naik.190@example.com,9000024959,Jigar,S0w,,false
kabir.gupta.359@example.com,9000055669,Kabir,S0w,,true
kavitha.kamath.165@example.com,9000070249,Kavitha,S0w,,true
kavya.bhatia.189@example.com,9000094766,Kavya,S0w,,true
meenakshi.reddy.325@example.com,9000026692,Meenakshi,S0w,,true
naina.chopra.322@example.com,9000043962,Naina,S0w,,true
nishant.sawant.247@example.com,9000020874,Nishant,S0w,,false
nitin.verma.238@example.com,9000029159,Nitin,S0w,,true
omkar.shinde.149@example.com,9000030230,Omkar,S0w,,true
parth.thakkar.226@example.com,9000094246,Parth,S0w,,false
pavithra.natarajan.298@example.com,9000033889,Pavithra,S0w,,false
pranav.chauhan.342@example.com,9000048715,Pranav,S0w,,true
ruchi.tiwari.210@example.com,9000060864,Ruchi,S0w,,true
rutuja.thakkar.150@example.com,9000069800,Rutuja,S0w,,true
sai.hegde.306@example.com,9000058418,Sai,S0w,,true
shalini.hegde.228@example.com,9000027217,Shalini,S0w,,true
shreya.kohli.180@example.com,9000021807,Shreya,S0w,,false
sindhu.shetty.200@example.com,9000087255,Sindhu,S0w,,false
sneha.thakkar.197@example.com,9000000055,Sneha,S0w,,true
sudipta.pradhan.173@example.com,9000048117,Sudipta,S0w,,true
swathi.pillai.172@example.com,9000006798,Swathi,S0w,,true
varsha.pai.334@example.com,9000044330,Varsha,S0w,,true
varun.kapoor.290@example.com,9000027420,Varun,S0w,,false
venkat.hegde.294@example.com,9000001047,Venkat,S0w,,true
venkat.menon.227@example.com,9000025312,Venkat,S0w,,true
vignesh.gowda.302@example.com,9000019471,Vignesh,S0w,,false
vignesh.shetty.224@example.com,9000056623,Vignesh,S0w,,true
yogesh.patil.191@example.com,9000055873,Yogesh,S0w,,true
yogesh.vora.344@example.com,9000036047,Yogesh,S0w,,false
