Ticket External ID,Contact Email,Contact Phone,Category,Subject,Description,Created At,SLA Due,Status,Resolved At,SCORES Ref
TK-003531,,9000035653,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-07-05T09:20:31+05:30,2026-07-06T09:20:31+05:30,resolved,2026-07-05T19:04:56+05:30,
TK-003681,meera.srivastava.505@example.com,9000068173,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S2. Tier free. Last screen H07. Last integration failure: none.",2026-08-22T21:55:32+05:30,2026-08-24T21:55:32+05:30,resolved,2026-08-23T21:25:01+05:30,
TK-003821,,9000078121,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-09-21T12:22:18+05:30,2026-09-22T12:22:18+05:30,resolved,2026-09-22T21:50:48+05:30,
TK-004311,,9000013239,support,SIP date wrong on the calendar,Ticket raised in the app (H07): sip date wrong on the calendar. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-07-21T12:13:04+05:30,2026-07-22T12:13:04+05:30,resolved,2026-07-22T14:10:50+05:30,
TK-004361,,9000049344,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S2. Tier free. Last screen H07. Last integration failure: none.,2026-08-28T19:31:12+05:30,2026-08-31T19:31:12+05:30,open,,
TK-004551,bhavana.gowda.592@example.com,9000082372,support,"Payment debited, plan still locked","Ticket raised in the app (H07): payment debited, plan still locked. Stage S3. Tier diy. Last screen H07. Last integration failure: I09 checkout failed.",2026-09-14T07:44:18+05:30,2026-09-15T07:44:18+05:30,resolved,2026-09-14T16:00:42+05:30,
TK-004591,tarun.tandon.596@example.com,9000064852,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S19. Tier diwm. Last screen H07. Last integration failure: I01 fi_fetch timeout.,2026-09-19T20:09:33+05:30,2026-09-21T20:09:33+05:30,resolved,2026-09-21T18:43:48+05:30,
TK-004601,suresh.subramanian.597@example.com,9000015325,support,Bank account not showing after the fetch,Ticket raised in the app (H07): bank account not showing after the fetch. Stage S6. Tier diwm. Last screen H07. Last integration failure: none.,2026-09-08T17:20:24+05:30,2026-09-09T17:20:24+05:30,resolved,2026-09-09T19:39:26+05:30,
TK-004621,aravind.srinivasan.599@example.com,9000002195,support,Change my registered mobile,Ticket raised in the app (H07): change my registered mobile. Stage S8. Tier diwm. Last screen H07. Last integration failure: I05 isin_lookup failed.,2026-09-19T12:13:48+05:30,2026-09-21T12:13:48+05:30,resolved,2026-09-21T00:59:18+05:30,
TK-004651,sanjana.pandey.602@example.com,9000041292,adviser_message,What changed in my updated plan,Ticket raised in the app (H07): what changed in my updated plan. Stage S6. Tier diwm. Last screen H07. Last integration failure: none.,2026-08-31T20:06:17+05:30,2026-09-01T20:06:17+05:30,resolved,2026-09-01T04:06:59+05:30,
