Timestamp,Email,Top Money Concern,Keyword,Source,Community Joined,Resource Sent
2026-07-14T19:32:24+05:30,aakash.chopra.529@example.com,Insurance and cover,PLAN,community,true,Money checklist PDF
2026-08-27T19:53:47+05:30,aakash.gill.404@example.com,Where to invest,PLAN,web_reveal,false,none
2026-07-01T15:59:36+05:30,aakash.gill.532@example.com,Paying off loans,PLAN,community,true,Reveal walkthrough video
2026-06-15T09:07:09+05:30,aakash.mishra.278@example.com,Saving enough every month,ALPHA,community,true,none
2026-08-04T14:21:54+05:30,aakash.pandey.341@example.com,Retiring early,PLAN,community,true,Reveal walkthrough video
2026-09-16T17:06:24+05:30,aakash.tiwari.228@example.com,My children's education,ALPHA,community,true,Reveal walkthrough video
2026-09-20T13:01:32+05:30,abhijit.mohanty.145@example.com,Saving enough every month,PLAN,community,true,none
2026-04-10T16:12:32+05:30,abhijit.pradhan.193@example.com,Where to invest,PLAN,web_reveal,true,Money checklist PDF
2026-05-03T22:08:14+05:30,aditya.arora.397@example.com,Insurance and cover,PLAN,community,true,none
2026-07-29T19:39:13+05:30,aditya.gupta.607@example.com,My children's education,PLAN,web_reveal,true,Reveal walkthrough video
2026-07-27T16:52:44+05:30,aditya.mehra.373@example.com,Retiring early,PLAN,community,true,none
2026-08-30T09:26:21+05:30,aditya.pandey.778@example.com,Retiring early,PLAN,web_reveal,true,Money checklist PDF
2026-09-03T23:37:01+05:30,aditya.saxena.938@example.com,My children's education,PLAN,community,true,Reveal walkthrough video
2026-09-15T17:53:47+05:30,aditya.sethi.648@example.com,Retiring early,PLAN,web_reveal,true,none
2026-04-05T14:56:02+05:30,aditya.tandon.636@example.com,Paying off loans,ALPHA,community,true,Money checklist PDF
2026-05-20T20:09:45+05:30,akshay.bhatia.177@example.com,Saving enough every month,ALPHA,community,true,Reveal walkthrough video
2026-08-30T19:45:41+05:30,akshay.gill.101@example.com,Paying off loans,PLAN,community,true,Reveal walkthrough video
2026-08-18T23:46:53+05:30,akshay.gupta.867@example.com,Paying off loans,ALPHA,web_reveal,false,Money checklist PDF
2026-05-28T21:56:05+05:30,akshay.mehra.591@example.com,Insurance and cover,PLAN,community,true,Reveal walkthrough video
2026-04-12T18:49:46+05:30,akshay.srivastava.130@example.com,Where to invest,PLAN,web_reveal,false,Reveal walkthrough video
2026-06-07T17:44:00+05:30,aman.agarwal.296@example.com,My children's education,ALPHA,community,true,Money checklist PDF
2026-09-02T12:33:44+05:30,aman.kohli.689@example.com,My children's education,PLAN,community,true,none
2026-06-28T16:30:58+05:30,aman.pandey.384@example.com,My children's education,PLAN,community,true,none
2026-08-11T23:09:21+05:30,aman.singh.575@example.com,My children's education,PLAN,web_reveal,false,Reveal walkthrough video
2026-04-21T21:41:15+05:30,aman.srivastava.681@example.com,Paying off loans,PLAN,web_reveal,false,Reveal walkthrough video
2026-09-09T10:12:55+05:30,amruta.bhosale.342@example.com,Insurance and cover,PLAN,community,true,Money checklist PDF
2026-05-14T18:24:05+05:30,amruta.bhosale.599@example.com,My children's education,ALPHA,community,true,none
2026-07-16T10:04:26+05:30,amruta.bhosale.779@example.com,My children's education,PLAN,community,true,none
2026-08-19T16:51:28+05:30,amruta.deshmukh.584@example.com,Where to invest,ALPHA,community,true,Money checklist PDF
2026-09-14T12:01:21+05:30,amruta.jadhav.532@example.com,My children's education,PLAN,community,true,Money checklist PDF
2026-09-21T23:11:39+05:30,amruta.jain.198@example.com,Paying off loans,ALPHA,community,true,Reveal walkthrough video
2026-07-16T22:19:41+05:30,amruta.joshi.912@example.com,Retiring early,ALPHA,web_reveal,false,none
2026-07-09T23:52:24+05:30,amruta.kulkarni.395@example.com,Where to invest,ALPHA,community,true,none
2026-07-12T22:51:59+05:30,amruta.naik.635@example.com,Retiring early,PLAN,community,true,none
2026-06-04T08:32:26+05:30,amruta.patil.946@example.com,Insurance and cover,ALPHA,community,true,Reveal walkthrough video
2026-08-25T20:50:37+05:30,amruta.shinde.430@example.com,My children's education,ALPHA,community,true,Reveal walkthrough video
2026-04-24T13:28:51+05:30,amruta.trivedi.762@example.com,Insurance and cover,PLAN,web_reveal,false,none
2026-07-01T20:31:15+05:30,anand.iyer.558@example.com,Where to invest,PLAN,web_reveal,false,none
2026-05-15T23:51:46+05:30,anand.krishnan.383@example.com,Retiring early,ALPHA,web_reveal,false,Money checklist PDF
2026-09-14T04:04:59+05:30,anand.murthy.364@example.com,Where to invest,PLAN,web_reveal,false,Money checklist PDF
2026-07-07T10:06:42+05:30,anand.murthy.370@example.com,Retiring early,PLAN,web_reveal,false,none
2026-08-08T14:58:16+05:30,anand.murthy.665@example.com,Retiring early,PLAN,web_reveal,false,Money checklist PDF
2026-05-21T14:45:15+05:30,anand.nair.190@example.com,Insurance and cover,ALPHA,web_reveal,false,Reveal walkthrough video
2026-03-30T19:01:01+05:30,anand.pai.170@example.com,Insurance and cover,ALPHA,web_reveal,true,none
2026-07-08T09:37:09+05:30,anand.prasad.426@example.com,Paying off loans,PLAN,community,true,Reveal walkthrough video
2026-08-17T10:31:05+05:30,anand.raman.345@example.com,Saving enough every month,PLAN,community,true,none
2026-04-02T12:24:57+05:30,anand.rao.788@example.com,Paying off loans,ALPHA,community,true,none
2026-07-28T15:34:22+05:30,anand.shetty.102@example.com,My children's education,ALPHA,community,true,Reveal walkthrough video
2026-08-28T10:36:11+05:30,anand.srinivasan.896@example.com,Insurance and cover,PLAN,community,true,none
2026-07-12T10:26:53+05:30,ananya.das.544@example.com,Paying off loans,PLAN,web_reveal,false,none
2026-06-03T13:20:27+05:30,ananya.sahoo.751@example.com,Saving enough every month,ALPHA,community,true,none
2026-08-24T20:12:55+05:30,aniket.bhosale.436@example.com,Insurance and cover,ALPHA,web_reveal,false,Reveal walkthrough video
2026-07-03T21:04:50+05:30,aniket.chitale.830@example.com,My children's education,PLAN,web_reveal,true,Reveal walkthrough video
2026-08-16T11:27:38+05:30,aniket.dave.597@example.com,Insurance and cover,PLAN,community,true,Reveal walkthrough video
